ingredient,title,source,price
milk,Horizon Organic Growing Years Milk,Walmart,5.98
milk,Horizon Organic Whole Milk 1 Gallon,Target,8.89
milk,Horizon Organic Whole Milk,Sam's Club,18.98
milk,Horizon Organic Whole Milk with DHA Omega-3,Walmart,5.52
milk,Horizon Grassfed Whole Milk,Target,6.39
milk,Horizon Organic Instant Dry Whole Milk,Sam's Club,23.22
milk,Horizon Organic Low Fat Strawberry Milk,Walmart,13.18
milk,Horizon Organic Strawberry Low Fat Milk,Walmart,7.13
milk,Horizon Organic Growing Years 2% Reduced Fat Milk,Walmart,5.98
milk,Horizon Organic Milk with DHA Omega-3,Publix Delivery,7.29
milk,Horizon Organic Fat Free Milk,Target,4.89
milk,Horizon Organic Half Gallon Whole Milk,DoorDash - Target US,5.59
milk,Horizon Organic Grassfed Reduced Fat Milk,Walmart,5.98
milk,Horizon Organic Chocolate Milk,Sam's Club,19.98
milk,Horizon Organic 2% Reduced Fat Milk,Target,8.89
milk,Horizon Organic Shelf-Stable 1% Low Fat Milk Boxes with DHA Omega-3,Walmart,7.88
milk,Stonyfield Organic Whole Milk,Walmart,5.27
eggs,Great Value Large White Eggs,Walmart,29.78
eggs,Member's Mark Large Eggs,Sam's Club,8.24
eggs,Great Value Grade A Large White Eggs,Walmart,5.97
eggs,Publix Eggs Large,Publix Delivery,6.83
eggs,Eggland's Best Cage Free Large Grade A Eggs,Sam's Club,5.92
eggs,Great Value Extra Large White Eggs,Walmart,9.02
eggs,Vital Farms Pasture Raised Large Grade A Eggs,Walmart,7.11
eggs,Great Value Cage Free Large AA White Eggs 60 ct,Walmart,29.78
eggs,Eggland's Best Large Eggs,Target,10.99
eggs,Great Value Jumbo White Eggs Grade A 12 Count,Walmart,6.82
eggs,Farmhouse Eggs Large Brown Cage Free Eggs,Walmart,5.78
eggs,Great Value Egg Makers,Walmart,4.72
bread,Sara Lee Butter Bread,Walmart,3.18
bread,Sara Lee Butter Bread Twin Pack,Sam's Club,5.48
bread,Sara Lee Artesano Brioche Bakery Bread,Target,3.49
bread,Sara Lee Butter Bread 20 oz,Walmart - Seller,15
bread,Sara Lee Artesano Bakery Bread,Publix Delivery,4.97
bread,Sara Lee Delightful Bread,Target,3.69
bread,Sola Bread Sweet & Buttery,Walmart,5.64
bread,Sara Lee Delightful Multi- Grain Bread,Target,4.79
bread,Pepperidge Farm Farmhouse Butter Bread,Walmart,3.84
bread,Sara Lee All Butter Pound Cake Family Size,Target,5.59
bread,Martin's Old Fashioned Real Butter Bread,Walmart,4
bread,"Sara Lee Delightful, White Bread - 16 oz",Publix Delivery,5.15
bread,Sara Lee Classic White Bread,Sam's Club,3.96
bread,Sara Lee Delightful Soft & Smooth Wheat Bread,Walmart,3.54
bread,Sara Lee Artesano Smooth Multigrain Bakery Bread,Publix Delivery,5.15
bread,Sara Lee Delightful Multi Grain Round Top Bread,Sam's Club,6.77
bread,Sara Lee Sandwich White Bread,Walmart - Seller,6.01
bread,"Sara Lee 2 count, Wheat Bread",Sam's Club,6.58
bread,Mrs Baird's Butter Bread,Walmart - Seller,3.08
bread,Sara Lee Artesano Hawaiian Pre-Sliced Bread,Sam's Club,5.38
orange juice,Simply Orange High Pulp Juice,Walmart,4.48
orange juice,Simply Orange Calcium Juice,Target,7.19
orange juice,Simply Light Pulp Free Orange Juice,Walmart,4.48
orange juice,Simply Orange Juice with Pineapple,Walmart,4.48
orange juice,Member's Mark Fresh-Squeezed Orange Juice,Sam's Club,9.98
orange juice,Tropicana 100% Juice Orange Original No Pulp 128 oz,Walmart,10.46
butter,Land O'Lakes Salted Butter,Walmart,5.28
butter,Land O'Lakes Salted Butter Half Sticks,Target,5.69
butter,Land O Lakes Butter Unsalted,Publix Delivery,8.53
butter,Land O Lakes Butter with Olive Oil and Sea Salt,Walmart,4.97
butter,"Land O Lakes Land O'Lakes Butter with Canola Oil (15 oz., 2 pk.)",Sam's Club,7.74
butter,Land O'Lakes Salted Sweet Cream Butter Sticks,Walmart,10.54
butter,"Land O Lakes Quarter Salted Butter, 8 Ounce - 12 per case.",Walmart - Seller,77.95
butter,Land O Lakes Margarine Sticks,Walmart,2.98
butter,Land O Lakes Light Butter with Canola Oil,Walmart,4.36
butter,Land O Lakes Cinnamon Sugar Butter Spread,Walmart,2.64
butter,"Land O Lakes Salted Butter, 1 Pound -- 36 per case, Size: 1-lb.",Walmart - Seller,339.65
