ingredient,title,source,price
milk,Horizon Organic Whole Milk,Walmart,13.98
milk,Horizon Organic Whole Milk 1 Gallon,Target,8.89
milk,Horizon Organic Whole Milk with DHA,Sam's Club,11.18
milk,Horizon Organic Growing Years Whole Milk,Publix Delivery,7.41
milk,Horizon Organic Whole Milk with DHA Omega-3,Walmart,5.52
milk,Horizon Organic Growing Years 2% Reduced Fat Milk,Target,6.39
milk,Horizon Organic Whole High Vitamin D Milk,DoorDash - Target US,4.99
milk,Horizon Organic Instant Dry Whole Milk,Sam's Club,23.22
milk,Horizon Organic Reduced Fat Milk,Walmart,4.88
milk,Horizon Organic Milk with DHA Omega-3,Target,5.59
milk,Horizon Organic 2% Reduced Fat Milk,Walmart,8.82
milk,Horizon Organic Low Fat Milk,Target,4.89
milk,Horizon Organic Grassfed Reduced Fat Milk,Walmart,5.98
milk,Horizon Organic Chocolate Low-Fat Milk,Sam's Club,19.98
milk,Horizon Organic Strawberry Low Fat Milk,Walmart,13.18
milk,Horizon Organic Half & Half,Walmart,4.74
eggs,Great Value Large White Eggs,Walmart,27.24
eggs,Member's Mark Large Eggs,Sam's Club,8.24
eggs,Great Value Grade A Large White Eggs,Walmart,5.46
eggs,Eggland's Best Large Eggs,Target,10.49
eggs,GreenWise Organic Brown Cage Free Eggs,Publix Delivery,5.27
eggs,Good & Gather Grade A Large Eggs,DoorDash - Target US,5.99
bread,Sara Lee Butter Bread,Walmart,3.18
bread,Sara Lee Butter Bread Twin Pack,Sam's Club,4.68
bread,Sara Lee Butter Bread 20 oz,Walmart - Seller,15
bread,Sara Lee Honey Butter Half Loaf Bread,Publix Delivery,3.31
bread,Sara Lee Artesano Bakery Bread,Target,3.49
bread,Sara Lee Artesano Brioche Bakery Bread,Walmart,3.48
bread,"Sara Lee 2 count, Wheat Bread",Sam's Club,6.58
bread,Sara Lee All Butter Pound Cake,Publix Delivery,5.41
bread,Sara Lee Artesano Golden Wheat Bakery Bread,Target,3.49
bread,Sara Lee Delightful Bread,Walmart,3.44
bread,Sara Lee Delightful Multi Grain Round Top Bread,Sam's Club,6.77
bread,Sara Lee Delightful Soft & Smooth Wheat Bread,Walmart,3.54
bread,Sara Lee Whole Grain White Bread,Target,3.29
bread,Sara Lee Artesano Hawaiian Pre-Sliced Bread,Sam's Club,5.38
bread,"Sara Lee Delightful, White Bread - 16 oz",Publix Delivery,5.15
bread,Sara Lee Bread 100% Whole Wheat Honey 20 Ounces,Walmart,4.48
bread,Sara Lee Delightful Multi- Grain Bread,Target,4.79
bread,Sara Lee Delightful Wheat Bread,Sam's Club,6.77
bread,Sara Lee Sandwich White Bread,Walmart - Seller,6.01
bread,Pepperidge Farm Farmhouse Butter Bread,Target,3.79
bread,Nature's Own Butterbread Bread,Sam's Club,5.43
bread,Sara Lee Artesano Smooth Multigrain Bakery Bread,DoorDash - Target US,3.49
bread,Sara Lee Artesano Bakery Rolls,Walmart,3.5
bread,Sara Lee Artesano Hawaiian Bakery Bread,Publix Delivery,4.81
orange juice,Simply 100% Orange Pulp Free Juice,Target,7.19
orange juice,Simply Orange Pulp Free Original Juice,Publix Delivery,6.03
orange juice,Simply Orange High Pulp Juice,Walmart,3.98
orange juice,Simply Orange Pulp Free Orange Juice Bottle (2/Pack),Sam's Club,7.68
orange juice,Simply Orange Juice Mini Pulp Free 4 ea,Walmart,4.98
orange juice,Simply Light Orange Pulp Free Juice,Walmart,3.98
orange juice,Simply Orange Calcium Juice,Target,7.19
orange juice,Simply Orange Juice with Pineapple,Walmart,3.98
orange juice,Natalie's Juice Orange,Publix Delivery,8.59
butter,Land O'Lakes Salted Butter,Walmart,5.28
butter,Land O Lakes Half Sticks Salted Butter,Publix Delivery,4.81
butter,Land O Lakes Butter Unsalted,Target,5.69
butter,Land O'Lakes Butter with Canola Oil,Sam's Club,7.74
butter,Land O'Lakes Salted Sweet Cream Butter Sticks,Walmart,10.54
butter,Land O Lakes Light Butter with Canola Oil,Walmart,4.36
butter,Land O Lakes Cinnamon Sugar Butter Spread,Walmart,2.64
butter,Land O Lakes Quarter Salted Butter,Walmart - Seller,77.95
