ingredient,title,source,price
milk,Horizon Organic Growing Years Whole Milk,Walmart,5.98
milk,Horizon Organic Whole Milk 1 Gallon,Target,8.89
milk,Horizon Organic Instant Dry Whole Milk,Sam's Club,23.22
milk,Horizon Organic Milk with DHA Omega-3,Publix Delivery,6.99
milk,Horizon Organic 2% Reduced Fat Milk,Target,8.89
milk,Horizon Organic Low Fat Milk,Walmart,4.88
eggs,Great Value Large White Eggs,Walmart,29.78
eggs,"Cal-Maine Foods, Inc. Fresh Eggs",Sam's Club,61.52
eggs,HAPPY Egg Free Range Large Brown Eggs,Publix Delivery,9.69
eggs,Eggland's Best Large Eggs,Target,10.99
eggs,Farmhouse Eggs Large Brown Cage Free Eggs,Walmart,5.78
bread,Sara Lee Butter Bread,Walmart,3.18
bread,Sara Lee Butter Bread Twin Pack,Sam's Club,5.48
bread,Sara Lee Artesano Brioche Bakery Bread,Target,3.49
bread,Sara Lee Butter Bread 20 oz,Walmart - Seller,15.0
bread,Sara Lee Honey Butter Half Loaf Bread,Publix Delivery,3.29
bread,Sara Lee Artesano Bakery Bread,Target,3.49
bread,Sara Lee Delightful Bread,Walmart,3.44
bread,Sara Lee Delightful Multi- Grain Bread,Target,4.79
bread,Pepperidge Farm Farmhouse Butter Bread,Publix Delivery,5.53
bread,Sara Lee All Butter Pound Cake Family Size,Walmart,5.17
bread,Sara Lee Whole Grain White Bread,Target,3.29
bread,Sara Lee Delightful Soft & Smooth Wheat Bread,Walmart,3.54
bread,Sara Lee Artesano Smooth Multigrain Bakery Bread,Publix Delivery,4.99
bread,Sara Lee Classic White Bread,Sam's Club,3.96
bread,Martin's Old Fashioned Real Butter Bread,Walmart - Seller,13.49
bread,Sara Lee Delightful Multi Grain Round Top Bread,Sam's Club,6.77
bread,Sara Lee Sandwich White Bread,Walmart - Seller,6.01
bread,Sara Lee Bread 100% Whole Wheat Honey 20 Ounces,Publix Delivery,5.99
bread,Sara Lee Wheat Bread,Sam's Club,6.58
bread,Mrs Baird's Butter Bread,Walmart - Seller,3.08
bread,Sara Lee Artesano Hawaiian Pre-Sliced Bread,Sam's Club,5.38
orange juice,Simply Orange High Pulp Juice,Walmart,4.48
orange juice,Simply Orange Pulp Free Juice,Target,7.19
orange juice,Simply Light Pulp Free Orange Juice,Walmart,4.48
orange juice,Simply Orange Pulp Free Calcium & Vitamin D Juice,Target,7.19
orange juice,Simply Orange Juice with Pineapple,Walmart,4.48
orange juice,Sunny D Tangy Original Citrus Punch,Sam's Club,11.98
orange juice,Florida's Natural Orange Juice,Walmart,4.46
orange juice,Florida's Natural Premium Most Pulp Juice,Publix Delivery,5.79
orange juice,Florida's Natural Some Pulp Orange Juice,Walmart,4.46
butter,Land O'Lakes Salted Butter,Walmart,5.28
butter,Land O Lakes Butter Unsalted,Target,5.69
butter,Land O Lakes Butter with Canola Oil,Walmart,2.48
butter,Land O Lakes Extra Creamy Salted Butter,Publix Delivery,9.99
butter,"Land O Lakes Land O'Lakes Butter with Canola Oil (15 oz., 2 pk.)",Sam's Club,7.74
butter,Land O Lakes Butter with Olive Oil and Sea Salt,Walmart,2.97
butter,"Land O Lakes Quarter Salted Butter, 8 Ounce - 12 per case.",Walmart - Seller,77.95
butter,"Land O Lakes Salted Butter, 1 Pound -- 36 per case, Size: 1-lb.",Walmart - Seller,339.65
butter,Land O Lakes Light Butter with Canola Oil,Walmart,4.36
butter,Land O Lakes Honey Butter Spread,Walmart,2.64
butter,Land O Lakes Cinnamon Sugar Butter Spread,Walmart,2.64
