ingredient,title,source,price
milk,Horizon Organic High Vitamin D Whole Milk Jug,Target,8.99
milk,Horizon Organic Growing Years Whole Milk,Walmart,6.27
milk,Horizon Organic Whole Milk with DHA Omega-3,Publix Delivery,6.99
milk,Horizon Organic Chocolate Milk,Sam's Club,19.98
milk,Horizon Organic Growing Years Milk,Target,6.69
milk,Horizon Organic 2% Milk with DHA Omega-3,Walmart,5.67
milk,Horizon Organic Instant Dry Whole Milk,Sam's Club,23.22
milk,Horizon Organic 2% Reduced Fat High Vitamin D Milk,Target,8.99
milk,Horizon Organic Growing Years Reduced Fat Milk,Publix Delivery,6.99
milk,Horizon Organic Instant Dry Whole Milk,Walmart,53.88
eggs,Great Value Grade A Large White Eggs,Walmart,14.62
eggs,Large Eggs 15 dozen,Sam's Club,52.76
eggs,Vital Farms Pasture-Raised Large Eggs,Walmart,5.92
eggs,Large Grade A Eggs,Publix Delivery,14.99
eggs,Happy Egg Co. Organic Free Range Eggs,Walmart,5.87
eggs,Egg Land's Best Extra Large Eggs,Walmart,7.87
eggs,Great Value Extra Large White Eggs,Walmart,5.57
eggs,Eggland's Best Grade A Large Eggs,Publix Delivery,6.69
eggs,Marketside Organic Cage Free Large Brown Eggs,Walmart,8.24
eggs,Egg Beaters Egg Original,Walmart,4.96
bread,Sara Lee Butter Bread,Walmart - Seller,3.48
bread,Sara Lee Honey Butter Half Loaf Bread,Walmart,1.98
bread,Sara Lee Artesano Brioche Bakery Thick Sliced Bread,Target,3.49
bread,Sara Lee Butter Bread 20 oz,Walmart - Seller,12.06
bread,Sara Lee Delightful Multi Grain Round Top Bread,Sam's Club,6.77
bread,Sara Lee Artesano Brioche Bakery Thick Sliced Bread,Walmart - Seller,12.21
bread,Sara Lee Artesano Bread Bakery Golden Wheat 20 Ounces,Target,3.49
bread,Sara Lee Classic White Bread,Walmart,2.5
bread,Sara Lee All Butter Pound Cake,Publix Delivery,4.99
bread,Sara Lee Delightful Multi- Grain Bread,Target,4.79
bread,Nature's Own Butterbread Bread,Walmart - Seller,3.42
bread,Sara Lee Delightful Soft & Smooth Wheat Bread Bag,Walmart,3.38
bread,Sara Lee 100% Whole Wheat Bread,Target,3.29
bread,Sara Lee Artesano Bakery Rolls,Walmart,3.33
bread,Sara Lee Delightful 100% Whole Wheat Honey Bread,Publix Delivery,5.99
bread,Sara Lee Half Loaf Bread,Walmart,1.98
bread,Sara Lee Delightful White Bread,Target,3.69
bread,Sara Lee Artesano Original Bread 20 oz White Pre-sliced White Bread,Walmart - Fusion Goods Collective,13.95
bread,Sara Lee Delightful Healthy Multi- Grain Bread,Walmart - Seller,4.96
orange juice,Simply High Pulp Juice Orange,Target,4.49
orange juice,Simply Light Pulp Free Orange Juice,Walmart,4.48
orange juice,Simply Orange Pulp Free Pineapple Juice,Walmart,4.48
orange juice,Simply Fruit Punch Juice Drink,Target,2.89
orange juice,Fresh-Squeezed Orange Juice,Sam's Club,9.98
orange juice,Simply Mango Juice Drink,Walmart,2.97
orange juice,Europe Standard Simply Orange Pulp Free Carafe 2 pk.,Walmart - Seller,26.85
orange juice,Cold Pressed Orange Juice,Target,6.99
orange juice,Uncle Matt's Organic Pulp Free Orange Juice,Walmart,7.84
orange juice,Apple & Eve 100% Juice Orange Sunrise Blend 10 fl.. oz. 24 pk.,Sam's Club,13.98
butter,Land O'Lakes Salted Butter,Target,4.49
butter,Land O'Lakes Salted Butter Half Sticks,Publix Delivery,7.99
butter,Land O Lakes Unsalted Butter,DoorDash - Target US,5.69
butter,Land O Lakes Butter with Olive Oil and Sea Salt,Target,3.19
butter,Land O Lakes Fresh Buttery Taste Spread,Walmart,3.24
butter,Land O Lakes Butter with Canola Oil Spread Tub,Sam's Club,7.74
butter,Land O Lakes Salted Butter Balls,Walmart,3.97
butter,Land O Lakes Salted Extra Creamy Butter European Style,Publix Delivery,9.99
butter,Land O Lakes Garlic & Herb Butter Spread,Walmart,2.64
butter,Land O Lakes Cinnamon Sugar Butter Spread,Walmart,2.64
butter,Land O Lakes Salted Butter 1 Pound 36 per Case,Walmart - Seller,329.01
butter,Land O Lakes Salted Whipped Butter,Walmart - Seller,120.6
butter,Land O Lakes European Style Creamy Blend Butter Whipped 5 Pound 2 per Case,Walmart - Seller,86.91
